ID,Week2_Quiz1,Week3_MP1,Week3_PR1,Week5_MP2,Week5_PR2,Week7_MP3,Week7_PR3,Week4_Quiz2,Week6_Quiz3,Week8_Total,Week1_Stat0,Week1_Stat1,Week1_Stat2,Week1_Stat3,Week2_Stat0,Week2_Stat1,Week2_Stat2,Week2_Stat3,Week3_Stat0,Week3_Stat1,Week3_Stat2,Week3_Stat3,Week4_Stat0,Week4_Stat1,Week4_Stat2,Week4_Stat3,Week5_Stat0,Week5_Stat1,Week5_Stat2,Week5_Stat3,Week6_Stat0,Week6_Stat1,Week6_Stat2,Week6_Stat3,Week7_Stat0,Week7_Stat1,Week7_Stat2,Week7_Stat3,Week8_Stat0,Week8_Stat1,Week8_Stat2,Week8_Stat3,Week9_Stat0,Week9_Stat1,Week9_Stat2,Week9_Stat3,Grade
ML-2020-71,4.17,15.0,5.0,7.39,5.0,32.22,0.0,2.75,0.0,71.53,4,0,0,0,18,20,2,1,0,0,0,0,52,15,2,1,21,6,0,0,13,2,0,0,28,2,1,0,11,5,0,0,9,5,0,0,3
ML-2020-72,4.17,15.0,5.0,19.13,5.0,35.0,5.0,5.0,5.0,98.3,3,0,0,0,18,10,1,4,35,4,0,0,47,34,4,24,85,10,7,11,52,26,3,6,44,21,0,4,42,27,2,1,15,4,0,0,5
ML-2020-73,0.0,15.0,5.0,17.39,5.0,27.44,5.0,3.5,5.0,83.33,0,0,0,0,0,0,0,0,66,4,0,2,52,17,2,9,47,9,0,0,67,26,2,0,13,0,0,0,34,13,0,0,17,4,0,0,4
ML-2020-75,4.17,11.0,5.0,13.91,5.0,14.72,5.0,4.67,4.0,67.47,6,0,0,0,16,10,1,5,55,8,0,0,58,15,1,4,87,8,0,0,81,13,1,1,21,8,0,3,8,1,0,2,17,2,2,0,2
ML-2020-76,5.0,13.0,5.0,18.26,5.0,33.01,5.0,5.0,5.0,94.27000000000001,1,0,0,0,6,20,1,0,26,4,0,0,16,22,2,0,18,6,0,0,13,15,1,0,10,0,0,0,29,10,0,0,8,0,0,0,5
ML-2020-77,1.67,13.0,5.0,6.96,5.0,21.48,5.0,4.05,4.5,66.66,0,0,0,0,13,10,1,0,15,0,0,0,29,4,0,2,37,20,2,0,11,14,1,0,57,12,2,0,14,5,0,0,4,2,0,0,2
ML-2020-78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.5,9.5,0,0,0,0,0,0,0,0,0,0,0,0,42,35,3,1,25,0,0,2,10,18,1,0,4,0,0,0,4,0,0,0,0,0,0,0,0
ML-2020-79,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,2,0,0,0,18,10,2,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML-2020-81,3.33,13.0,5.0,17.83,5.0,26.65,5.0,5.0,5.0,85.81,10,0,0,0,19,11,2,2,68,5,0,3,78,36,3,0,44,12,4,2,21,25,5,2,36,7,4,2,9,4,2,0,12,6,3,0,4
ML-2020-82,4.17,0.0,0.0,0.0,0.0,0.0,0.0,4.05,0.0,8.219999999999999,7,0,1,0,13,13,1,0,2,0,0,0,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ML-2020-83,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,1,0,0,0,8,10,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML-2020-84,4.17,11.0,5.0,17.83,5.0,23.47,5.0,5.0,4.5,80.97,14,0,0,0,7,18,1,0,15,0,0,0,48,33,3,0,53,2,0,0,63,38,1,0,8,0,0,0,90,6,0,0,14,2,0,0,3
ML-2020-85,4.17,14.0,5.0,20.0,5.0,27.05,5.0,3.83,5.0,89.05,14,0,0,0,28,14,1,0,43,4,0,0,86,31,1,2,56,9,0,0,60,23,2,1,31,3,0,3,19,4,0,0,17,5,1,0,4
ML-2020-87,2.5,13.0,5.0,17.83,5.0,21.88,5.0,5.0,5.0,80.21,3,0,0,0,26,13,3,2,32,4,0,1,69,54,3,4,31,4,2,5,47,18,2,5,31,5,0,1,26,12,0,2,9,1,0,0,3
ML-2020-88,3.33,10.0,0.0,10.87,5.0,0.0,0.0,0.0,0.0,29.2,14,0,0,0,24,32,1,0,11,0,0,0,38,4,0,0,68,6,7,0,28,3,0,0,3,0,1,0,72,9,4,0,0,0,0,0,0
ML-2020-90,1.67,12.0,5.0,16.09,5.0,32.61,5.0,5.0,5.0,87.37,0,0,0,0,24,10,1,0,59,4,0,0,79,42,3,0,45,4,0,0,96,30,2,0,18,4,0,0,5,2,0,0,0,0,0,0,4
ML-2020-91,5.0,15.0,5.0,8.7,5.0,21.08,5.0,5.0,5.0,74.78,2,0,0,0,7,10,1,0,20,6,0,0,19,30,3,0,20,7,1,0,14,23,2,0,3,0,0,0,10,5,0,2,14,9,3,0,3
ML-2020-92,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,23,0,2,6,30,12,1,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
ML-2020-93,3.33,13.0,5.0,14.78,5.0,25.85,5.0,4.67,3.5,80.13,1,0,0,0,10,20,1,4,34,9,0,0,40,18,1,1,14,4,0,0,73,25,4,0,17,15,0,2,0,0,0,0,15,5,4,0,3
ML-2020-95,5.0,14.0,5.0,16.96,5.0,24.66,5.0,3.15,4.0,82.77000000000001,17,0,0,1,16,10,1,2,35,4,0,2,108,22,1,0,13,5,0,0,104,14,1,1,20,2,2,3,23,12,1,1,13,0,0,0,4
ML-2020-97,3.33,15.0,5.0,19.13,5.0,35.0,5.0,4.67,5.0,97.13,0,0,0,0,10,10,1,0,42,4,0,0,21,13,1,0,11,4,0,0,28,14,1,1,16,5,1,2,16,13,0,0,1,0,0,0,5
ML-2020-98,4.17,15.0,5.0,18.26,5.0,24.66,5.0,4.25,5.0,86.34,1,0,0,0,17,16,1,0,30,4,0,0,55,13,2,0,14,4,0,0,39,17,1,0,7,4,0,0,8,11,0,0,11,2,1,0,4
ML-2020-100,2.5,14.0,5.0,18.26,5.0,28.64,0.0,3.0,5.0,81.4,13,0,0,0,35,16,4,25,44,5,1,5,108,87,2,4,60,11,2,0,123,36,5,1,21,6,2,1,22,4,1,0,7,0,0,0,4
ML-2020-102,5.0,15.0,5.0,19.57,5.0,34.6,5.0,5.0,5.0,99.17,23,0,0,1,50,10,2,8,86,4,0,0,196,35,2,2,48,7,0,0,95,26,2,0,18,2,0,0,11,4,0,0,5,4,0,0,5
ML-2020-103,4.17,11.0,5.0,18.26,4.9,31.02,5.0,5.0,4.5,88.85,4,0,0,0,18,10,1,0,33,4,0,0,17,22,2,0,87,17,0,1,79,25,2,0,11,4,0,2,11,3,0,0,5,0,0,0,4
ML-2020-104,5.0,15.0,5.0,17.83,5.0,28.24,5.0,4.17,5.0,90.24,2,0,0,0,15,12,1,0,28,0,1,2,33,20,5,0,39,13,1,0,24,18,1,0,12,0,4,2,27,15,5,1,16,12,2,0,4
ML-2020-105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ML-2020-74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,0,9,11,1,0,1,0,0,0,22,0,0,0,66,28,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML-2020-99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML-2020-66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,1,1,56,30,1,2,26,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
ML-2020-101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,14,18,1,0,23,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML-2020-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,15,12,1,0,19,0,0,0,0,0,0,0,2,0,0,0,26,9,1,0,0,0,0,0,1,0,11,0,0,0,0,0,0
ML-2020-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,18,19,1,2,28,4,0,6,85,20,1,1,20,7,0,0,27,16,1,0,21,7,1,1,16,3,0,0,0,0,0,0,0
ML-2020-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0
ML-2020-50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,0,0
ML-2020-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,14,19,1,0,20,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
ML-2020-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0
ML-2020-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ML-2020-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML-2020-61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,0,0,29,10,1,6,61,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML-2020-89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,2,2,104,22,10,23,103,0,7,5,34,5,13,3,0,0,0,0,0,0,0,0,145,19,11,0,0,0,0,0,3,0,0,0,0
ML-2020-96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,3,10,1,0,5,0,0,0,1,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
ML-2020-57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,9,10,1,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
ML-2020-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0
ML-2020-63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,1,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML-2020-80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,19,12,1,0,24,0,1,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
ML-2020-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML-2020-107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
ML-2020-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ML-2020-49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,52,27,1,1,51,4,0,0,41,19,2,0,16,9,0,0,10,2,0,0,64,0,0,0,4,0,11,0,3,0,0,0,0
ML-2020-106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0
ML-2020-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,0,2,12,1,0,13,4,0,0,14,16,1,4,9,4,0,0,7,11,2,0,13,7,0,0,28,0,22,0,1,0,0,0,0
ML-2020-58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,0,22,13,1,0,10,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
ML-2020-94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML-2020-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,9,0,0,5,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
ML-2020-86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
